date,state,positive,posNeg
20200624,IL,139540.0,1429841
20200624,IN,43140.0,431883
20200624,KS,12970.0,161705
20200624,KY,14363.0,335702
20200624,LA,52477.0,648505
20200624,MA,107611.0,795072
20200624,MD,65337.0,490457
20200624,ME,3017.0,85190
20200624,MI,68555.0,944805
20200624,MN,33763.0,529643
20200624,MO,18868.0,327024
20200624,MS,23424.0,261661
20200624,MT,766.0,75066
20200624,NC,56174.0,791285
20200624,ND,3362.0,98689
20200624,NE,18092.0,161301
20200624,NH,5571.0,110053
20200624,NJ,169892.0,1299645
20200624,NM,10838.0,302083
20200624,NV,14362.0,252387
20200624,NY,389666.0,3551952
20200624,OH,46759.0,680687
20200624,OK,11510.0,298278
20200624,OR,7444.0,214008
20200624,PA,83191.0,691408
20200624,RI,16606.0,224993
20200624,SC,27897.0,318208
20200624,SD,6419.0,75077
20200624,TN,37235.0,718304
20200624,TX,125921.0,1630258
20200624,UT,18784.0,304738
20200624,VA,59514.0,576571
20200624,VT,1184.0,59860
20200624,WA,29386.0,487059
20200624,WI,28641.0,516444
20200624,WV,2629.0,157048
20200624,WY,1279.0,30148
20200623,AK,778.0,92947
20200623,AL,31097.0,354038
20200623,AR,16678.0,264492
20200623,AZ,58179.0,440518
20200623,CA,183073.0,3496929
20200623,CO,30705.0,287876
20200623,CT,45899.0,403944
20200623,DE,10847.0,97536
20200623,FL,103503.0,1640752
20200623,GA,67678.0,731261
20200623,HI,816.0,69340
20200623,IA,26373.0,264703
20200623,ID,4254.0,76164
20200623,IL,138825.0,1400510
20200623,IN,42871.0,426376
20200623,KS,12465.0,155013
20200623,KY,14141.0,331294
20200623,LA,51595.0,635939
20200623,MA,107439.0,787642
20200623,MD,65007.0,483535
20200623,ME,2994.0,81707
20200623,MI,68197.0,928668
20200623,MN,33469.0,520045
20200623,MO,18143.0,317374
20200623,MS,22898.0,253860
20200623,MT,743.0,73923
20200623,NC,54453.0,773828
20200623,ND,3320.0,97553
20200623,NE,17957.0,158642
20200623,NH,5558.0,108876
20200623,NJ,169734.0,1283451
20200623,NM,10694.0,298076
20200623,NV,13997.0,248526
20200623,NY,389085.0,3500808
20200623,OH,46127.0,670437
20200623,OK,11028.0,295057
20200623,OR,7274.0,210712
20200623,PA,82696.0,679103
20200623,RI,16533.0,222163
20200623,SC,26613.0,309251
20200623,SD,6353.0,73986
20200623,TN,36303.0,705419
20200623,TX,120370.0,1597290
20200623,UT,18300.0,302276
20200623,VA,58994.0,568377
20200623,VT,1164.0,59328
20200623,WA,28870.0,477204
20200623,WI,28175.0,506340
20200623,WV,2582.0,154328
20200623,WY,1254.0,28739
20200622,AK,761.0,90824
20200622,AL,30454.0,349110
20200622,AR,16083.0,256339
20200622,AZ,54586.0,429790
20200622,CA,178054.0,3411686
20200622,CO,30539.0,282772
20200622,CT,45782.0,397552
20200622,DE,10820.0,96723
20200622,FL,100217.0,1617487
20200622,GA,65928.0,708026
20200622,HI,814.0,68711
20200622,IA,26051.0,258632
20200622,ID,4006.0,72968
